domain,ip,traceroute
google.com,142.251.98.102,"traceroute to 142.251.98.102 (142.251.98.102), 15 hops max, 60 byte packets
 1  172.18.176.1  1.386 ms  0.676 ms  0.526 ms
 2  192.168.1.1  10.246 ms  9.947 ms  9.494 ms
 3  10.3.128.1  16.124 ms  16.047 ms  15.714 ms
 4  84.237.49.5  15.900 ms  15.868 ms  15.699 ms
 5  84.237.49.138  15.208 ms  15.092 ms  14.634 ms
 6  95.170.130.189  14.150 ms  12.898 ms  12.800 ms
 7  85.112.122.5  141.962 ms  135.758 ms  135.520 ms
 8  195.208.208.232  135.543 ms  128.528 ms  127.492 ms
 9  192.178.241.55  127.718 ms 192.178.241.241  127.076 ms *
10  209.85.143.20  126.989 ms 192.178.241.148  126.579 ms 192.178.241.234  126.687 ms
11  * 72.14.234.54  126.172 ms *
12  142.250.58.156  125.294 ms * 192.178.107.218  205.373 ms
13  142.250.56.66  205.881 ms 192.178.99.103  205.123 ms 108.170.235.158  205.162 ms
14  142.250.238.90  204.146 ms 192.178.99.101  203.915 ms 192.178.99.103  203.812 ms
15  * 142.251.235.96  203.911 ms *
"
ya.ru,77.88.55.242,"traceroute to 77.88.55.242 (77.88.55.242), 15 hops max, 60 byte packets
 1  172.18.176.1  0.666 ms  0.503 ms  0.243 ms
 2  192.168.1.1  14.158 ms  13.672 ms  13.561 ms
 3  10.3.128.1  18.718 ms  18.049 ms  18.641 ms
 4  84.237.49.5  18.416 ms  18.340 ms  18.288 ms
 5  84.237.49.138  18.074 ms  17.979 ms  17.924 ms
 6  95.170.130.189  17.622 ms  17.046 ms  16.665 ms
 7  194.226.100.90  69.883 ms  61.654 ms  62.918 ms
 8  87.250.239.9  71.439 ms 87.250.239.45  68.459 ms 87.250.239.81  67.608 ms
 9  * * *
10  * * *
11  * * *
12  * * *
13  * * *
14  * * *
15  * * *
"
vk.com,87.240.132.67,"traceroute to 87.240.132.67 (87.240.132.67), 15 hops max, 60 byte packets
 1  172.18.176.1  0.638 ms  0.389 ms  1.527 ms
 2  192.168.1.1  5.433 ms  5.142 ms  5.141 ms
 3  10.3.128.1  5.202 ms  5.162 ms  5.026 ms
 4  * * *
 5  * * *
 6  * * *
 7  85.112.122.5  165.185 ms  161.007 ms  160.933 ms
 8  * * *
 9  * * *
10  * * *
11  * * *
12  * * *
13  * * *
14  * * *
15  * * *
"
bbc.com,84.237.50.43,"traceroute to 84.237.50.43 (84.237.50.43), 15 hops max, 60 byte packets
 1  172.18.176.1  11.581 ms  11.448 ms  3.678 ms
 2  192.168.1.1  15.610 ms  15.419 ms  15.252 ms
 3  10.3.128.1  17.901 ms  14.534 ms  19.951 ms
 4  84.237.50.43  19.905 ms  19.873 ms  19.842 ms
"
x.com,172.66.0.227,"traceroute to 172.66.0.227 (172.66.0.227), 15 hops max, 60 byte packets
 1  172.18.176.1  12.331 ms  0.322 ms  0.261 ms
 2  192.168.1.1  15.283 ms  15.303 ms  11.668 ms
 3  10.3.128.1  14.398 ms  14.366 ms  14.334 ms
 4  84.237.49.5  11.506 ms  11.456 ms  11.421 ms
 5  84.237.49.138  13.520 ms  13.487 ms  13.526 ms
 6  95.170.130.189  13.225 ms  13.733 ms  11.387 ms
 7  85.112.122.5  161.616 ms  155.500 ms  155.460 ms
 8  80.81.194.180  155.339 ms  152.929 ms  152.516 ms
 9  162.158.84.229  152.733 ms 162.158.84.237  152.189 ms 162.158.84.37  152.397 ms
10  172.66.0.227  151.427 ms  148.728 ms  148.509 ms
"
